X1,Y1,X2,Y2,X3,Y3
15.7,1.92403263289045,15.7,0.424071156509678,15.7,1.49996147638077
15.8,1.91910914351603,15.8,0.424252188563962,15.8,1.49485695495207
15.9,1.90207508105836,15.9,0.424422817946119,15.9,1.47765226311224
16,1.87307029962262,16,0.424583634798704,16,1.44848666482392
16.1,1.83233143865724,16.1,0.424735196643866,16.1,1.40759624201337
16.2,1.78019001368678,16.2,0.424878030089432,16.2,1.35531198359735
16.3,1.71706973873889,16.3,0.425012632456886,16.3,1.292057106282
16.4,1.64348310215439,16.4,0.425139473333487,16.4,1.21834362882091
16.5,1.56002722351276,16.5,0.425258996050895,16.5,1.13476822746186
16.6,1.46737902522348,16.6,0.425371619092749,16.6,1.04200740613073
16.7,1.3662897578811,16.7,0.42547773743368,16.7,0.940812020447419
16.8,1.25757892371186,16.8,0.425577723812305,16.8,0.832001199899552
16.9,1.14212764731174,16.9,0.425671929940723,16.9,0.716455717371021
17,1.02087154734897,17,0.425760687653051,17,0.595110859695918
17.1,0.894793166943022,17.1,0.425844309995509,17.1,0.468948856947513
17.2,0.764914024004069,17.2,0.425923092260531,17.2,0.338990931743539
17.3,0.632286345892324,17.3,0.425997312967319,17.3,0.206289032925005
17.4,0.497984555311838,17.4,0.426067234791255,17.4,0.0719173205205832
17.5,0.363096576366189,17.5,0.426133105444451,17.5,-0.0630365290782612
17.6,0.228715031158976,17.6,0.426195158509728,17.6,-0.197480127350752
17.7,0.095928398207401,17.7,0.42625361423021,17.7,-0.330325216022809
17.8,-0.0341877957540018,17.8,0.426308680256638,17.8,-0.460496476010639
17.9,-0.160579679273097,17.9,0.426360552354471,17.9,-0.586940231627568
18,-0.282223564524953,18,0.426409415072746,18,-0.708632979597699
18.1,-0.39813423146137,18.1,0.426455442376589,18.1,-0.824589673837959
18.2,-0.507372900701855,18.2,0.426498798245205,18.2,-0.93387169894706
18.3,-0.609054830622693,18.3,0.426539637237115,18.3,-1.03559446785981
18.4,-0.702356477142798,18.4,0.426578105024288,18.4,-1.12893458216709
18.5,-0.786522158245519,18.5,0.426614338896808,18.5,-1.21313649714233
18.6,-0.860870169284325,18.6,0.42664846823958,18.6,-1.2875186375239
18.7,-0.924798299566729,18.7,0.426680614982566,18.7,-1.3514789145493
18.8,-0.97778870555707,18.8,0.426710894025938,18.8,-1.40449959958301
18.9,-1.01941210124712,18.9,0.426739413641476,18.9,-1.4461515148886
19,-1.04933123177097,19,0.426766275851495,19,-1.47609750762247
19.1,-1.06730360214248,19.1,0.426791576786498,19.1,-1.49409517892897
19.2,-1.07318343902354,19.2,0.426815407022708,19.2,-1.49999884604625
19.3,-1.06692286963965,19.3,0.426837851900575,19.3,-1.49376072154022
19.4,-1.04857230829637,19.4,0.426858991825286,19.4,-1.47543130012166
19.5,-1.01828004736471,19.5,0.426878902550277,19.5,-1.44515894991499
