X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.19,0.359331406538244,0.107,0.101841393499504,0.19,0.0864604050734989,0.19,0.142508099509731
0.198,0.390893478246592,0.19,0.0898031576727178,0.198,0.114207758363759,0.198,0.168213735771597
0.19,0.41721576422394,0.198,0.0907234428169765,0.19,0.137359454221493,0.19,0.189898312616027
0.173,0.439164159838894,0.19,0.0931680533360719,0.173,0.156458907981734,0.173,0.208778102401388
0.169,0.462809888690318,0.173,0.0977283941905121,0.169,0.17741546793684,0.169,0.228961379963379
0.277,0.49528813437538,0.169,0.104256928262666,0.277,0.142260028385552,0.277,0.23886653916646
0.283,0.534626906544138,0.277,0.0847648255884521,0.283,0.179469897632697,0.283,0.267855971455758
0.266,0.565127165817386,0.283,0.0859400582210812,0.266,0.208457169818783,0.266,0.291054353498013
0.248,0.592727050950829,0.266,0.0886663624372821,0.248,0.234793679536333,0.248,0.312929017734915
0.166,0.283500739120231,0.248,0.09356115965929,0.166,0.165416603278591,0.166,0.0856102493334684
0.087,0.1826898350394,0.166,0.102695000407405,0.087,0.0767297462749589,0.087,0
0.236,0.401204252283892,0.087,0.101170358720652,0.236,0.198731273038935,0.236,0.175717463667809
0.187,0.339058895494614,0.236,0.0961288192265146,0.187,0.141219570964039,0.187,0.129527244409206
0.133,0.274450260652401,0.187,0.0966545374364258,0.133,0.0829300301837807,0.133,0.07820747823119
0.014,0.0406167929105389,0.133,0.0949338966815689,0.014,0.0452999375190684,0.014,0
0.022,0.043909118661413,0.014,0.128554523434456,0.022,0.0462697848289853,0.022,0
0.031,0.0479743000539232,0.022,0.129719367495476,0.031,0.0478129206100021,0.031,0
0.043,0.117110363610517,0.031,0.132475169327632,0.043,0.0390158308644018,0.043,0
0.054,0.126431291325786,0.043,0.123308390156338,0.054,0.0452049255714971,0.054,0
0.057,0.135183825136833,0.054,0.124746816245622,0.057,0.050905949230201,0.057,0
0.059,0.144643073538533,0.057,0.12780525782674,0.059,0.0570451506210747,0.059,0
0.064,0.155540474822852,0.059,0.133151692417763,0.064,0.0644448936288931,0.064,0
0.124,0.249571773397519,0.064,0.140572103247053,0.124,0.0793427832805856,0.124,0.0629193665203247
0.123,0.268422939392893,0.124,0.119709924103258,0.123,0.0944254871879116,0.123,0.0814954737079095
0.118,0.286522771110347,0.123,0.12306867919059,0.118,0.108774060675218,0.118,0.0997173950060707
0.117,0.30503156920103,0.118,0.12877532418161,0.117,0.12361431711484,0.117,0.118276049952261
0.225,0.366493026207702,0.117,0.136577929727936,0.225,0.113530293047765,0.225,0.153441638915978
0.225,0.40118526995077,0.225,0.112630816174115,0.225,0.14424013505253,0.225,0.181235637974003
0.212,0.429865662694142,0.225,0.11460841632876,0.212,0.169672984169423,0.212,0.204398836837191
0.196,0.455852589861013,0.212,0.118265976948147,0.196,0.1926849351319,0.196,0.225906489928738
0.192,0.482856128564984,0.196,0.124327817039462,0.192,0.216986476762678,0.192,0.248174087132596
0.323,0.505051553771458,0.192,0.132510127837285,0.323,0.174065581425511,0.323,0.251078038208924
0.331,0.550445654055795,0.323,0.107206472248187,0.331,0.217431845366511,0.331,0.284045047212649
0.291,0.617324922643779,0.331,0.109452192088861,0.309,0.25077789119989,0.309,0.309964424022657
0.191,0.297727538082666,0.309,0.113401984552363,0.291,0.282090770979765,0.291,0.334963085612373
0.096,0.186863528697918,0.291,0.119815156391913,0.191,0.19447579384153,0.191,0.102703869399596
0.272,0.418692375986295,0.191,0.128322389249855,0.096,0.0966408244892109,0.096,0.00722372009050615
0.212,0.350398927944582,0.096,0.126307936931649,0.272,0.233545136977357,0.272,0.193819343608704
0.15,0.281215250582489,0.272,0.120908827682083,0.212,0.169999257397987,0.212,0.14372489511176
0.015,0.0407599451912196,0.212,0.121395344217557,0.15,0.107389224916706,0.15,0.0893340712878413
0.024,0.0442858303420939,0.15,0.119224043400897,0.015,0.058619678957027,0.015,0
0.034,0.0486716156935643,0.015,0.15026133647024,0.024,0.0597281374341949,0.024,0
0.046,0.117941040606788,0.024,0.151092349747466,0.034,0.0614779489392283,0.034,0
0.057,0.127829354227101,0.034,0.153618997948776,0.046,0.0564932881830831,0.046,0
0.061,0.137418715760912,0.046,0.144812576369719,0.057,0.0631161425518356,0.057,0
0.067,0.149089904420772,0.057,0.145935659847173,0.061,0.0694793086544156,0.061,0
0.068,0.159283730750344,0.061,0.148779440346098,0.067,0.077449057593043,0.067,0
0.131,0.232489017471254,0.067,0.154022572457137,0.068,0.084200805126187,0.068,0
0.133,0.254468806087504,0.068,0.161497935116033,0.131,0.0863353294600979,0.131,0.0534563445617618
0.13,0.274576993289528,0.131,0.13929504890926,0.133,0.104067079897472,0.133,0.0746625289694674
0.129,0.296298382571082,0.133,0.140701679022643,0.13,0.12024930435257,0.13,0.0941315102401383
0.126,0.31579198804588,0.13,0.143858249518895,0.129,0.137832612397709,0.129,0.115095397897436
0.247,0.373027199720982,0.129,0.149474414650781,0.126,0.153561400689003,0.126,0.134167573488811
0.25,0.412596333460664,0.126,0.157343110300739,0.247,0.143638022413695,0.247,0.165908732921005
0.237,0.445493816211469,0.247,0.133711999427703,0.25,0.178967269080123,0.25,0.197019297341563
0.222,0.476069869968872,0.25,0.135399292537485,0.237,0.208492707077977,0.237,0.222912589740602
0.217,0.506066624634271,0.237,0.138864100154268,0.222,0.23603723857703,0.222,0.247333788092532
0.359,0.515227753136827,0.222,0.14484804198689,0.217,0.263430053580104,0.359,0.265582620509592
0.375,0.567672696925499,0.217,0.153107017823403,0.359,0.211569162487627,0.375,0.303182954532506
0.36,0.609173926371364,0.359,0.128064423410425,0.375,0.262171589767778,0.36,0.333681747196473
0.225,0.318232431451696,0.375,0.13002955030583,0.36,0.302777050246485,0.345,0.362944758889004
0.106,0.191926131725839,0.36,0.13379719849725,0.225,0.22966954984815,0.225,0.126575978069834
0.328,0.444469047928026,0.345,0.140137565602966,0.106,0.117706906142714,0.106,0.019436089635498
0.247,0.366424735427335,0.225,0.150990372394647,0.328,0.278318208968331,0.328,0.219602447482504
0.167,0.28909329614919,0.106,0.148272204915344,0.247,0.205103279859996,0.247,0.16335116354111
0.016,0.040903864194958,0.328,0.142694235873792,0.167,0.134819533794646,0.167,0.103343527585292
0.025,0.0445280283630467,0.247,0.143091475509641,0.016,0.0654727989808134,0.016,0
0.035,0.04904251770221,0.167,0.140299808983582,0.025,0.0666354881452667,0.025,0
0.048,0.118642202986927,0.016,0.157467117097489,0.035,0.0684628651066119,0.035,0
0.058,0.128909423879673,0.025,0.156183344790795,0.048,0.068302228996591,0.048,0
0.063,0.139155250222593,0.035,0.156584285058557,0.058,0.0752217657470533,0.058,0
0.065,0.149983121926886,0.048,0.152174071593637,0.063,0.0821183418941781,0.063,0
0.071,0.162719283671498,0.058,0.151190111041173,0.065,0.0893443707672663,0.065,0
0.135,0.234720374992815,0.063,0.151913384928617,0.071,0.0982417394956582,0.071,0.00988379283805287
0.137,0.258202322568271,0.065,0.154866036836303,0.135,0.10423546825054,0.135,0.0635547730946567
0.134,0.27963558039978,0.071,0.16014496261648,0.137,0.123287919881402,0.137,0.0859348527995289
0.134,0.303470025465727,0.135,0.146813073593683,0.134,0.140651161257241,0.134,0.106357298395707
0.132,0.325147234514797,0.137,0.146119628593878,0.134,0.160142675099474,0.134,0.128819568095372
0.262,0.379036263056122,0.134,0.147156379263429,0.132,0.177868677542232,0.132,0.149355626885556
0.267,0.42249656456794,0.134,0.150473098718748,0.262,0.169948228960086,0.262,0.178503991387865
0.258,0.460099028062187,0.132,0.156136788701095,0.267,0.20901063951691,0.267,0.212193619530806
0.249,0.497497319510036,0.262,0.141381717139821,0.258,0.243145437140792,0.258,0.241129174853814
0.241,0.530137335649805,0.267,0.14097364362773,0.249,0.277480906978304,0.249,0.269956476740454
0.384,0.524518559292875,0.258,0.142314213701462,0.241,0.307720592007115,0.241,0.295506884387817
0.393,0.675377926991196,0.249,0.145983414051211,0.384,0.246168129301031,0.384,0.280014849989826
0.242,0.33421439779039,0.241,0.152018503434613,0.412,0.303715201436984,0.412,0.32200273956329
0.354,0.462950862344596,0.384,0.135884371784156,0.401,0.350219597906148,0.401,0.356194584130109
0.264,0.378157380185193,0.412,0.135755318780333,0.242,0.255337991244315,0.393,0.390071979723716
0.171,0.294026276460713,0.401,0.137395023053013,0.108,0.13193757047788,0.242,0.14712012619265
0.016,0.0409689748078626,0.393,0.141410811384755,0.354,0.311846733239775,0.108,0.0307853155470556
0.026,0.0447320924253709,0.242,0.157883484509239,0.264,0.231827756591186,0.354,0.240575440067262
0.034,0.0490187696864833,0.108,0.154383051454182,0.171,0.15513938923285,0.264,0.180162327719486
0.05,0.11923267424976,0.354,0.149014916504584,0.016,0.066079870788562,0.171,0.115449925316014
0.06,0.1298770090907,0.264,0.149275748238178,0.026,0.0673513057430204,0.016,0
0.065,0.140551285332609,0.171,0.145838544882464,0.034,0.0689960179888111,0.026,0
0.07,0.152917204303539,0.016,0.151879319694915,0.05,0.0730263853665043,0.034,0
0.073,0.165146722561195,0.026,0.148247881572147,0.06,0.0802644478795229,0.05,0
0.146,0.261956074941824,0.034,0.146234436784873,0.065,0.0875254592703344,0.06,0
0.145,0.285970471626817,0.05,0.146931323005431,0.07,0.0960654449697486,0.065,0
0.145,0.311960630313008,0.06,0.143602559958653,0.073,0.104536727253672,0.07,0.00318063749053474
0.276,0.383709095257913,0.065,0.141905477875132,0.146,0.134783307751669,0.073,0.0180411878539692
0.29,0.431979548523893,0.07,0.142169899243632,0.145,0.154481507876737,0.146,0.095173641606757
0.278,0.472449698765721,0.073,0.144790622224418,0.145,0.175969386610079,0.145,0.117576074336028
0.274,0.514708736607668,0.146,0.138884964157424,0.276,0.186520102146317,0.145,0.141524829168332
0.261,0.548381703847487,0.145,0.137491186236453,0.29,0.23021388190963,0.276,0.188049274256896
0.4,0.531009776816706,0.145,0.138101173998045,0.278,0.267246496147333,0.29,0.224978442302284
0.445,0.596124897083007,0.276,0.136844617342302,0.274,0.306544268539426,0.278,0.255692124920184
0.265,0.349997691140622,0.29,0.134087668289646,0.261,0.338047542390469,0.274,0.287607180337398
0.115,0.199365694429529,0.278,0.132986156330255,0.4,0.268862137719481,0.261,0.313670064222171
0.384,0.479694459540942,0.274,0.133933119310551,0.445,0.332681513919643,0.4,0.290501133756908
0.281,0.387822104058472,0.261,0.137257635395771,0.444,0.385617866686929,0.445,0.336465792213712
0.183,0.299914076144691,0.4,0.131700919621402,0.265,0.273978109224637,0.444,0.374737380072075
0.017,0.0410321589611901,0.445,0.129219474526476,0.115,0.139506837116477,0.265,0.16526516660972
0.027,0.0448613613205096,0.444,0.128406072031222,0.384,0.336110054821862,0.115,0.0403778536767049
0.054,0.119831008991167,0.265,0.151511478191467,0.281,0.248943446111396,0.384,0.25818977971132
0.062,0.130478328434687,0.115,0.147432829891187,0.183,0.168585365461169,0.281,0.193332471489829
0.071,0.153772026845092,0.384,0.142470491584527,0.017,0.0655085457526051,0.183,0.126263885200621
0.076,0.166957183841052,0.281,0.142602796872317,0.027,0.066835168953519,0.017,0
0.141,0.2369993548707,0.183,0.138712103459538,0.054,0.0742336067343846,0.027,0
0.145,0.262538504530888,0.017,0.147854744090718,0.062,0.081479807421494,0.054,0
0.143,0.286361904480535,0.027,0.143325284196373,0.071,0.097507019609115,0.062,0
0.145,0.313306142081178,0.054,0.143069051847583,0.076,0.106805979918219,0.071,0.00606025650936168
0.145,0.338734074445017,0.062,0.138840523865506,0.141,0.116543772364204,0.076,0.0217846998000603
0.282,0.385318103146793,0.071,0.135425026821631,0.145,0.137439460289166,0.141,0.0737700163597468
0.288,0.432784458251094,0.076,0.13700870224197,0.143,0.156972221460046,0.145,0.0977763653596769
0.28,0.474638347524394,0.141,0.138222032523824,0.145,0.179330031822838,0.143,0.119991042288677
0.277,0.517943709873427,0.145,0.134285302471032,0.145,0.200552094550401,0.145,0.144661251150734
0.405,0.532945655023543,0.143,0.131952907616934,0.282,0.191647695706158,0.145,0.167793230730221
